nazwa;autorzy;tekst na certyfikat;ankieta przed;wymagania instalacyjne
testowanie-uzytecznosci-i-ux;lukasz-losin;brak;brak;brak
testy-akceptacyjne-jak-skutecznie-zaplanowac-i-wykonac;karolina-zmitrowicz;brak;brak;brak
testy-automatyczne-i-test-driven-design-w-javascript;mateusz-kulesza;ok;brak;ok
testy-bezpieczenstwa-nowoczesnych-aplikacji-internetowych;sebastian-chmielewski;brak;brak;brak
testy-wydajnosciowe-aplikacji-internetowych-z-wykorzystaniem-apache-jmeter;klara-trzcinska;brak;brak;brak
tworzenie-aplikacji-internetowych-z-uzyciem-frameworka-laravel;tomasz-sulkowski;brak;brak;brak
tworzenie-aplikacji-internetowych-z-wykorzystaniem-asp-.net-core-2.0;rafal-kaszczuk;brak;brak;ok
tworzenie-aplikacji-w-chmurze-z-wykorzystaniem-windows-azure;rafal-kaszczuk;brak;brak;brak
tworzenie-aplikacji-webgis-na-bazie-postgis-geoserver-openlayers-i-qgis;michal-srednicki;brak;brak;brak
tworzenie-aplikacji-webowych-w-ruby-on-rails;piotr-szmielew;brak;brak;brak
tworzenie-aplikacji-webowych-z-uzyciem-vaadin;lukasz-andrzejewski;ok;ok;ok
tworzenie-aplikacji-webowych-z-wykorzystaniem-expressjs;mateusz-kulesza;ok;brak;ok
tworzenie-aplikacji-z-r-shiny;pawel-jamer;brak;brak;brak
tworzenie-aplikacji-z-uzyciem-angular;tomasz-sulkowski;brak;brak;brak
tworzenie-aplikacji-z-uzyciem-reactjs;tomasz-sulkowski;brak;brak;brak
